Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
98,12650,"Boyd","Tyler",WR,CIN,108.5,156.9,10
99,13630,"Sutton","Courtland",WR,DEN,108.4,156.8,9
100,13726,"Edmonds","Chase",RB,MIA,143.8,155.3,11
101,10697,"Tannehill","Ryan",QB,TEN,307.0,154.9,6
102,13313,"McKenzie","Isaiah",WR,BUF,105.3,154.0,7
103,516,"Cowboys","Dallas",D,DAL,165.3,153.6,9
104,15717,"Pierce","Dameon",RB,HOU,140.9,153.1,6
105,14777,"Burrow","Joe",QB,CIN,304.2,152.2,10
106,13646,"Gallup","Michael",WR,DAL,102.7,151.6,9
107,15288,"Moore","Elijah",WR,NYJ,102.3,151.2,10
108,9431,"Stafford","Matthew",QB,LAR,303.1,151.0,7
109,15259,"Stevenson","Rhamondre",RB,NEP,137.3,150.4,10
110,11150,"Smith","Geno",QB,SEA,302.4,150.4,11
111,13192,"Njoku","David",TE,CLE,105.5,149.2,9
112,14833,"Jeudy","Jerry",WR,DEN,99.5,148.6,9
113,14127,"Meyers","Jakobi",WR,NEP,99.1,148.3,10
114,15329,"Pitts","Kyle",TE,ATL,104.3,148.1,14
115,14113,"Hardman","Mecole",WR,KCC,98.4,147.6,8
116,12930,"Anderson","Robbie",WR,CAR,98.2,147.5,13
117,14138,"Hockenson","T.J.",TE,DET,103.2,147.0,6
118,11680,"Landry","Jarvis",WR,NOS,97.6,146.9,14
119,14977,"Osborn","K.J.",WR,MIN,97.5,146.9,7
120,12676,"Henry","Hunter",TE,NEP,101.3,145.1,10
121,13672,"Gesicki","Mike",TE,MIA,100.6,144.4,11
122,10261,"Green","A.J.",WR,ARI,92.6,142.3,13
123,15282,"Smith","DeVonta",WR,PHI,90.1,140.1,7
124,15258,"Carter","Michael",RB,NYJ,123.2,139.8,10
125,13623,"Williams","Darrel",RB,ARI,122.7,139.5,13
126,14085,"Pollard","Tony",RB,DAL,122.7,139.4,9
127,14857,"Peoples-Jones","Donovan",WR,CLE,86.0,136.3,9
128,14858,"Jefferson","Van",WR,LAR,84.6,135.0,7
129,13236,"Everett","Gerald",TE,LAC,92.2,134.6,8
130,503,"Dolphins","Miami",D,MIA,147.3,133.7,11
131,13809,"Gage","Russell",WR,TBB,80.8,131.6,11
132,11225,"Patterson","Cordarrelle",RB,ATL,112.1,131.5,14
133,14112,"Campbell","Parris",WR,IND,80.1,130.9,14
134,14137,"Fant","Noah",TE,SEA,88.3,130.7,11
135,11247,"Ertz","Zach",TE,ARI,88.0,130.5,13
136,15752,"Burks","Treylon",WR,TEN,79.5,130.4,6
137,11647,"Thomas","Logan",TE,WAS,87.9,130.4,14
138,15283,"Moore","Rondale",WR,ARI,79.0,129.9,13
139,15788,"Tolbert","Jalen",WR,DAL,78.7,129.6,9
140,11232,"Hopkins","DeAndre",WR,ARI,78.4,129.4,13
141,15331,"Freiermuth","Pat",TE,PIT,86.9,129.3,9
142,14873,"Okwuegbunam","Albert",TE,DEN,86.9,129.3,9
143,14813,"Robinson","James",RB,JAC,109.0,129.2,11
144,12658,"Shepard","Sterling",WR,NYG,77.7,128.8,9
145,14141,"Smith Jr.","Irv",TE,MIN,86.2,128.7,7
146,13863,"Pringle","Byron",WR,CHI,77.4,128.5,14
147,12140,"Winston","Jameis",QB,NOS,280.4,128.4,14
148,11644,"Carr","Derek",QB,LVR,279.7,127.7,6
149,11182,"Burkhead","Rex",RB,HOU,106.8,127.5,6
150,13718,"Carlson","Daniel",K,LVR,158.1,127.5,6
151,14558,"Harty","Deonte",WR,NOS,76.2,127.4,14
152,13427,"Tonyan","Robert",TE,GBP,84.4,126.9,14
153,13139,"Williams","Jamaal",RB,DET,105.7,126.7,6
154,14847,"Duvernay","Devin",WR,BAL,74.9,126.2,10
155,13108,"McKissic","J.D.",RB,WAS,104.6,125.9,14
156,11761,"McKinnon","Jerick",RB,KCC,103.5,125.1,8
157,12678,"Higbee","Tyler",TE,LAR,81.5,124.0,7
158,13645,"Smith","Tre'Quan",WR,NOS,72.2,123.7,14
159,15368,"McPherson","Evan",K,CIN,154.4,123.4,10
160,13277,"Golladay","Kenny",WR,NYG,70.8,122.4,9
161,15255,"Gainwell","Kenneth",RB,PHI,99.3,121.9,7
162,13814,"Scott","Boston",RB,PHI,99.2,121.8,7
163,15290,"Collins","Nico",WR,HOU,68.8,120.6,6
164,13168,"Reynolds","Josh",WR,DET,68.0,119.9,6
165,15319,"Palmer","Josh",WR,LAC,67.6,119.5,8
166,14087,"Henderson","Darrell",RB,LAR,96.0,119.5,7
167,13638,"Berrios","Braxton",WR,NYJ,67.0,118.9,10
168,14860,"Jennings","Jauan",WR,SFO,66.8,118.7,9
169,524,"Vikings","Minnesota",D,MIN,133.5,118.6,7
170,14992,"Watkins","Quez",WR,PHI,66.3,118.3,7
171,14223,"Mattison","Alexander",RB,MIN,93.5,117.6,7
172,12164,"Davis","Mike",RB,BAL,93.2,117.4,10
173,510,"Steelers","Pittsburgh",D,PIT,131.4,116.3,9
174,14017,"Wilson","Jeffery",RB,SFO,91.1,115.7,9
175,15289,"Toney","Kadarius",WR,NYG,63.2,115.5,9
176,13652,"Wilson","Cedrick",WR,MIA,62.7,115.0,11
177,14244,"Gay","Matt",K,LAR,146.7,115.0,7
178,13134,"Foreman","D'Onta",RB,CAR,89.3,114.5,13
179,13176,"Jones","Zay",WR,JAC,61.9,114.3,11
180,15109,"Westbrook-Ikhine","Nick",WR,TEN,61.4,113.9,6
181,10308,"Cobb","Randall",WR,GBP,61.0,113.5,14
182,15873,"Bellinger","Daniel",TE,NYG,70.1,112.8,9
183,13424,"Hill","Taysom",TE,NOS,69.9,112.5,14
184,15762,"Pickens","George",WR,PIT,59.9,112.4,9
